code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
3350033108660;http://world-fr.openfoodfacts.org/produit/3350033108660/speculoos-sans-huile-de-palme-monoprix;Spéculoos sans Huile de Palme;Monoprix;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Spéculoos;Biscuits;France;;;1514126315
3350033111868;http://world-fr.openfoodfacts.org/produit/3350033111868/batonnets-sables-chocolat-au-lait-monoprix-gourmet;Bâtonnets Sablés Chocolat au Lait;Monoprix Gourmet,Monoprix;Monoprix;e;Biscuits au chocolat au lait;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/311/1868/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/311/1868/front.6.200.jpg;1501345332
3350033156326;http://world-fr.openfoodfacts.org/produit/3350033156326/croustillant-au-chocolat-noir-monoprix;Croustillant au Chocolat Noir;Monoprix;Monoprix;d;Biscuits au chocolat noir;Biscuits;France;;;1485949036
3350033156654;http://world-fr.openfoodfacts.org/produit/3350033156654/sables-graines-et-miel-monoprix;Sablés graines et miel;Monoprix;Monoprix;d;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/315/6654/front.9.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/315/6654/front.9.200.jpg;1436640148
3350033174122;http://world-fr.openfoodfacts.org/produit/3350033174122/crepes-dentelle-nature-monoprix-gourmet;Crêpes Dentelle Nature;Monoprix Gourmet,Monoprix;Monoprix;e;Crêpes dentelles,Biscuits;Biscuits;France;;;1510401489
3350033237926;http://world-fr.openfoodfacts.org/produit/3350033237926/macarons-aux-amandes-sans-gluten-monoprix;Macarons aux Amandes Sans Gluten;Monoprix,Bien Vivre;Monoprix;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Macarons,Macarons aux amandes,Produits sans gluten;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/323/7926/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/323/7926/front.8.200.jpg;1485441865
3350033305496;http://world-fr.openfoodfacts.org/produit/3350033305496/petits-beurre-croustillants-tablette-de-chocolat-noir-monoprix;Petits beurre croustillants tablette de chocolat noir;Monoprix;Monoprix;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits, en:dark-chocolate-biscuits;Biscuits;France;;;1501594737
3350033311060;http://world-fr.openfoodfacts.org/produit/3350033311060/biscuits-pepites-de-chocolat-quinoa-monoprix-bio;Biscuits pépites de chocolat & quinoa;Monoprix Bio,Monoprix;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/331/1060/front.10.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/331/1060/front.10.200.jpg;1492965553
3350033311107;http://world-fr.openfoodfacts.org/produit/3350033311107/gaufres-fourrage-au-miel-monoprix-bio;Gaufres fourrage au miel;Monoprix bio;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;;;1508582029
3350033311114;http://world-fr.openfoodfacts.org/produit/3350033311114/petit-beurre-monoprix-bio;Petit beurre Monoprix bio;Monoprix Bio;Monoprix;e;Sugary snacks,Biscuits and cakes,Biscuits;Biscuits;France;;;1504975826
3368390000190;http://world-fr.openfoodfacts.org/produit/3368390000190/le-palmier-d-armor-pur-beurre-armor-delices;Le Palmier d'Armor Pur Beurre;Armor Délices;Carrefour;e;Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits feuilletés, Palmiers;Biscuits;France;http://fr.openfoodfacts.org/images/products/336/839/000/0190/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/336/839/000/0190/front.6.200.jpg;1460104484
3368390000602;http://world-fr.openfoodfacts.org/produit/3368390000602/12-sables-d-armor-aux-pepites-de-chocolat-armor-delices;12 sablés d'Armor aux pépites de chocolat;Armor Délices;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/336/839/000/0602/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/336/839/000/0602/front.6.200.jpg;1446111501
3368390020617;http://world-fr.openfoodfacts.org/produit/3368390020617/6-palmiers-d-armor-armor-delices;6 Palmiers d'Armor;Armor Délices;;e;Biscuits feuilletés,Palmiers;Biscuits;France;;;1511422759
