code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
7614800246006;http://world-fr.openfoodfacts.org/produit/7614800246006/florentin-kambly;Florentin;Kambly;Hyper U;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/024/6006/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/761/480/024/6006/front_fr.8.200.jpg;1509527053;2323.0;33.0;55.0;38.0;;8.1;0.19
7614800269500;http://world-fr.openfoodfacts.org/produit/7614800269500/surprise-a-la-framboise-kambly;Surprise à la Framboise;Kambly;;e;Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/026/9500/front_fr.11.400.jpg;https://static.openfoodfacts.org/images/products/761/480/026/9500/front_fr.11.200.jpg;1510133590;2063.0;24.0;63.0;44.0;;5.4;0.23
7614800277000;http://world-fr.openfoodfacts.org/produit/7614800277000/kambly-delice-de-coco;Kambly Délice de coco;Kambly;Carrefour;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/027/7000/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/761/480/027/7000/front_fr.3.200.jpg;1503882326;2297.0;35.0;47.0;43.0;;9.5;0.25
7614800321000;http://world-fr.openfoodfacts.org/produit/7614800321000/rocher-aux-amandes-kambly;Rocher aux amandes ;Kambly;intermarché;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/032/1000/front_fr.12.400.jpg;https://static.openfoodfacts.org/images/products/761/480/032/1000/front_fr.12.200.jpg;1509528244;2273.0;32.0;50.0;39.0;;12.0;0.18
7614800364007;http://world-fr.openfoodfacts.org/produit/7614800364007/amandes-nuances-de-citron-kambly;Amandes nuances de Citron;Kambly;Cora;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/036/4007/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/761/480/036/4007/front_fr.6.200.jpg;1428652675;2123.0;25.0;59.0;37.0;;9.8;0.5
7614800994129;http://world-fr.openfoodfacts.org/produit/7614800994129/coeur-caramel-kambly;Coeur Caramel;Kambly;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/099/4129/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/761/480/099/4129/front_fr.6.200.jpg;1476642480;2100.0;26.0;61.0;39.0;;5.6;0.23
7617400033557;http://world-fr.openfoodfacts.org/produit/7617400033557/blevita-5-korngeback-midor;Blévita 5 korngebäck;Midor,Migros;Migros;c;Biscuits secs;Biscuits;France;https://static.openfoodfacts.org/images/products/761/740/003/3557/front_fr.19.400.jpg;https://static.openfoodfacts.org/images/products/761/740/003/3557/front_fr.19.200.jpg;1520952299;1724.0;12.0;59.0;2.5;12.0;11.0;1.6
7617400033717;http://world-fr.openfoodfacts.org/produit/7617400033717/biscuits-5-cereales-au-sesame-blevita;Biscuits 5 Céréales au Sésame;Blévita,Migros;;b;Biscuits,Biscuits au sésame,Biscuits secs;Biscuits;France;https://static.openfoodfacts.org/images/products/761/740/003/3717/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/761/740/003/3717/front_fr.3.200.jpg;1491998973;1946.0;21.0;50.0;3.0;12.0;13.0;1.0
7617400034486;http://world-fr.openfoodfacts.org/produit/7617400034486/biscuits-a-l-epeautre-bio-migros;Biscuits à l'épeautre BIO;Migros,M-BIO;Migros;d;Biscuits,Biscuiterie;Biscuits;France;https://static.openfoodfacts.org/images/products/761/740/003/4486/front_fr.10.400.jpg;https://static.openfoodfacts.org/images/products/761/740/003/4486/front_fr.10.200.jpg;1524572170;1895.0;15.0;70.0;27.0;5.0;7.0;1.03
7622210021502;http://world-fr.openfoodfacts.org/produit/7622210021502/original-oreo;Original Oreo;Oreo,Mondelez;;e;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/002/1502/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/762/221/002/1502/front_fr.3.200.jpg;1524806963;1983.0;19.0;68.0;38.0;;5.45;0.74
